,Name,Latitude,Longitude,Temperature (F),Maximum Temperature(F),Minimum Temperature(F),Humidity (%),Cloudiness (%),Wind Speed (mph)
371,Selfoss,63.93,-21.0,23.0,23.0,23.0,85,74,1.99
372,Kapuskasing,49.42,-82.43,13.1,14.0,12.2,72,100,9.17
373,Swan Hill,-35.34,143.55,57.38,57.38,57.38,70,50,10.76
374,Le Grand-Quevilly,49.4,1.05,48.4,48.99,46.4,100,90,4.7
375,Amagi,33.42,130.65,46.4,46.4,46.4,93,26,2.24
376,Port Saint John's,-31.62,29.54,67.93,67.93,67.93,87,2,1.86
377,Halifax,44.65,-63.57,51.51,52.0,51.01,93,90,23.04
378,Norilsk,69.35,88.2,21.2,21.2,21.2,100,40,20.13
379,Zaslawye,54.01,27.27,40.87,44.01,39.2,93,75,8.95
380,Chibougamau,49.92,-74.37,23.0,23.0,23.0,85,90,6.93
381,Al Muharraq,26.26,50.61,73.4,73.4,73.4,49,20,14.99
382,Kerman,30.28,57.08,44.6,44.6,44.6,81,75,6.93
383,Bir Mogrein,25.22,-11.58,61.84,61.84,61.84,26,43,8.86
384,Toamasina,-18.17,49.38,71.6,71.6,71.6,94,40,1.12
385,Pokrovsk,48.28,37.18,30.72,30.72,30.72,98,82,6.85
386,Chumikan,54.72,135.31,5.47,5.47,5.47,89,0,20.18
387,Moyale,3.52,39.06,68.45,68.45,68.45,81,54,3.38
388,Caracarai,1.82,-61.13,86.95,86.95,86.95,65,66,2.24
389,Mount Shasta,41.31,-122.31,45.09,48.2,41.0,45,1,4.68
390,Scarborough,54.28,-0.4,46.62,46.99,46.0,87,100,10.0
391,Sechura,-5.56,-80.82,76.01,76.01,76.01,52,37,18.7
392,Page,36.91,-111.46,56.03,57.0,55.4,22,1,6.93
393,Kuji,40.19,141.77,37.4,37.4,37.4,69,40,6.93
394,Aquidauana,-20.47,-55.79,95.38,95.38,95.38,22,0,4.72
395,Mae Hong Son,19.3,97.97,67.93,67.93,67.93,81,95,1.19
396,Petrovsk-Zabaykal'skiy,51.27,108.84,16.25,16.25,16.25,96,100,4.16
397,Laie,21.65,-157.93,79.2,80.6,77.0,73,75,5.82
398,Bejaia,36.76,5.08,50.0,50.0,50.0,87,20,4.7
399,Quellon,-43.12,-73.62,57.2,57.2,57.2,71,94,10.29
400,Sydney,-33.87,151.21,65.41,68.0,63.0,82,75,19.46
401,Al Jawf,29.5,38.75,56.39,56.39,56.39,45,63,9.1
402,Praia da Vitoria,38.73,-27.07,59.43,60.01,59.0,87,20,9.62
403,Miandrivazo,-19.52,45.47,82.44,82.44,82.44,65,100,5.64
404,Gijon,43.54,-5.66,50.86,52.0,50.0,88,100,3.87
405,Lodja,-3.48,23.43,70.57,70.57,70.57,98,88,2.98
406,Pelotas,-31.77,-52.34,77.25,78.8,75.99,61,40,25.28
407,Noginsk,55.87,38.44,34.92,35.6,34.0,93,90,4.47
408,Bridgetown,13.1,-59.62,84.2,84.2,84.2,66,20,16.11
409,Steamboat Springs,40.48,-106.83,43.02,48.0,32.0,70,90,6.93
410,Hoskins,42.11,-97.31,38.37,39.2,37.0,73,90,21.92
411,Vasylivka,47.44,35.27,32.0,32.0,32.0,80,52,4.47
412,Timaru,-44.4,171.25,54.14,54.14,54.14,70,0,9.78
413,Nantucket,41.28,-70.1,52.39,53.6,51.01,93,90,9.17
414,Blitar,-8.1,112.17,74.26,74.26,74.26,90,100,1.83
415,Zapala,-38.9,-70.05,68.43,68.43,68.43,26,0,27.54
416,Jabalpur,23.17,79.95,54.46,54.46,54.46,51,0,2.08
417,Smithers,54.78,-127.17,28.4,28.4,28.4,86,90,3.2
418,Kota Kinabalu,5.97,116.07,75.11,75.2,75.0,94,20,5.82
419,Santa Cruz,-17.8,-63.17,96.8,96.8,96.8,37,0,13.87
420,Krasnokamensk,50.1,118.04,14.56,14.56,14.56,95,74,7.76
421,Ifakara,-8.13,36.68,76.71,76.71,76.71,73,0,4.74
422,Uberlandia,-18.92,-48.28,82.4,82.4,82.4,45,40,6.93
423,Vishakhapatnam,17.69,83.21,78.8,78.8,78.8,69,90,5.82
424,Zolote,48.69,38.51,28.47,28.47,28.47,97,54,5.61
425,Polyarnyy,69.2,33.45,30.2,30.2,30.2,100,75,7.99
426,Salinopolis,-0.61,-47.36,75.61,75.61,75.61,91,100,5.35
427,Palu,-0.89,119.87,76.73,76.73,76.73,80,100,2.64
428,Zamora,-4.07,-78.96,82.4,82.4,82.4,45,75,20.8
429,Pisco,-13.7,-76.22,70.47,71.6,69.01,60,0,21.92
430,Jamay,20.3,-102.72,75.2,75.2,75.2,31,5,5.32
431,Marsh Harbour,26.54,-77.06,76.6,76.6,76.6,78,2,14.2
432,Wanaka,-44.7,169.15,57.99,57.99,57.99,72,14,1.01
433,Barcelos,41.54,-8.62,51.84,54.0,48.2,100,100,2.57
434,Shilka,51.85,116.03,17.64,17.64,17.64,94,90,3.0
435,Kamina,-8.74,24.99,66.99,66.99,66.99,93,100,4.99
436,Johor Bahru,1.47,103.76,76.39,77.0,75.0,88,75,1.12
437,Zillah,46.4,-120.26,36.81,37.4,35.6,86,90,0.63
438,Luganville,-15.53,167.17,78.8,78.8,78.8,88,40,7.45
439,Kinkala,-4.36,14.76,70.59,70.59,70.59,98,100,3.42
